checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,  imutemp, barotemp, state,checksum2
101,128772,128672,0,0,-0.054349,0.145019,10.086762,0.241464,1.394029,-3.685868,-3.648217,30.825222,-43.554516,-1360.000000,1872.000000,-2980.000000,89.117242,179.992533,-21.959666,0.133682,-0.135667,0.699498,0.688785,1341.197510,86128.171875,0.046341,1341.234375,2.37927223.375000,25.002518,0,202
101,130857,130758,0,0,-0.048792,0.134624,10.086926,1.033294,2.492237,-3.582214,-3.660439,30.733685,-43.466820,-1362.000000,1856.000000,-2974.000000,89.159951,179.997314,-21.342074,0.129988,-0.131875,0.699957,0.689762,1341.094116,86129.750000,-0.182826,1341.234375,2.27587923.500000,25.039625,0,202
101,132993,132893,0,0,-0.054709,0.140686,10.088009,-0.276997,1.222248,-3.453335,-3.745992,30.705078,-44.095291,-1376.000000,1851.000000,-3017.000000,89.141851,179.984733,-23.250442,0.141510,-0.143460,0.697788,0.687376,1341.181152,86130.015625,-0.290287,1341.294434,2.36291523.500000,25.067457,0,202
101,135050,134903,0,0,-0.060766,0.130334,10.084290,-1.030497,1.236170,-3.542735,-3.837655,30.527725,-43.905293,-1391.000000,1820.000000,-3004.000000,89.186787,-179.943929,-21.760943,0.132181,-0.134755,0.699241,0.689515,1341.206909,86129.414062,0.034096,1341.294434,2.38867223.500000,25.095287,0,202
101,137113,136984,0,0,-0.056040,0.136861,10.107396,-0.478961,1.883660,2.501069,-3.917097,30.607821,-43.569134,-1363.000000,1842.000000,-2932.000000,89.156515,-179.988981,-22.258642,0.135413,-0.137556,0.698884,0.688696,1341.263672,86127.070312,0.029937,1341.294434,2.44543523.625000,25.118479,0,202
101,139170,139057,0,0,-0.051602,0.139088,10.091901,0.904394,1.183899,-3.843221,-3.972095,30.773733,-44.519146,-1413.000000,1863.000000,-3046.000000,89.143517,179.981195,-22.495486,0.137002,-0.138836,0.698712,0.688299,1341.169800,86131.195312,0.028290,1341.303467,2.35156223.625000,25.164864,0,202
101,141231,141135,0,0,-0.060486,0.138888,10.073178,-0.957095,1.996430,-3.258232,-3.764325,30.756569,-43.408360,-1379.000000,1860.000000,-2970.000000,89.137199,-179.975375,-23.204224,0.140984,-0.143424,0.697824,0.687455,1341.239258,86129.148438,-0.061034,1341.303467,2.42102123.625000,25.192694,0,202
101,143349,143213,0,0,-0.063476,0.141807,10.086349,-0.092548,1.557941,-2.227593,-3.794879,30.665031,-43.744518,-1384.000000,1844.000000,-2993.000000,89.114660,-179.964993,-22.439553,0.136303,-0.138853,0.698889,0.688255,1341.313110,86127.367188,0.421295,1341.313110,2.49487323.625000,25.211248,0,202
101,145407,145308,0,0,-0.057084,0.141164,10.085289,0.760721,2.354957,-3.372486,-3.660439,30.556330,-43.832214,-1362.000000,1825.000000,-2999.000000,89.117802,-179.998735,-23.341825,0.141928,-0.144145,0.697797,0.687138,1341.239014,86129.250000,-0.026273,1341.313110,2.42077623.750000,25.257631,0,202
101,147469,147318,0,0,-0.060565,0.129033,10.090991,-0.157518,0.962570,-3.498804,-3.562664,30.722242,-44.241447,-1346.000000,1854.000000,-3027.000000,89.178030,-179.980320,-24.337154,0.147858,-0.150233,0.696134,0.686269,1341.212524,86127.984375,0.020595,1341.313110,2.39428723.625000,25.280823,0,202
