checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,574458,574309,0,0,-0.157439,0.511051,9.893899,-0.674874,-0.009190,0.582812,-18.656610,41.071693,0.672318,-3816.000000,3663.000000,46.000000,6.127614,-86.970738,71.553704,0.609301,-0.370288,-0.580185,0.393731,1213.784302,87478.500000,-0.061655,1.406860,0.802246,0.769965,32.375000,35.755985,0,202
101,576591,576499,0,0,-0.156718,0.505180,9.896681,-0.774615,-0.892417,-0.044142,-18.778830,41.100300,-0.350775,-3836.000000,3668.000000,-24.000000,5.848195,-86.997335,71.415215,0.608749,-0.371177,-0.579804,0.394309,1213.906250,87477.718750,0.138045,1.406860,0.924194,0.943749,32.500000,35.779324,0,202
101,578672,578523,0,0,-0.163092,0.495536,9.901557,-0.197603,0.284123,-0.444330,-18.839937,41.226166,-0.263081,-3846.000000,3690.000000,-18.000000,7.378030,-86.934457,72.578287,0.609984,-0.368681,-0.580996,0.392986,1213.924805,87476.937500,0.088040,1.406860,0.942749,0.955531,32.375000,35.802662,0,202
101,580750,580671,0,0,-0.188402,0.485828,9.897429,-1.100069,-0.286478,0.195546,-18.668835,41.140347,0.073078,-3818.000000,3675.000000,5.000000,6.811966,-87.010203,72.032466,0.609683,-0.369231,-0.581183,0.392660,1213.880371,87477.039062,0.143985,1.406860,0.898315,0.867896,32.250000,35.821331,0,202
101,582882,582763,0,0,-0.152848,0.515516,9.889784,0.540659,0.407909,-0.214497,-18.980488,41.174671,-0.482315,-3869.000000,3681.000000,-33.000000,6.219258,-87.076518,71.894155,0.607933,-0.371944,-0.579920,0.394675,1213.947266,87476.835938,0.219226,1.406860,0.965210,1.008019,32.375000,35.840000,0,202
101,584935,584856,0,0,-0.157420,0.479828,9.899176,0.710917,0.218798,-0.186048,-18.919380,40.968716,0.058462,-3859.000000,3645.000000,4.000000,3.119908,-86.732385,68.419651,0.611488,-0.369547,-0.578772,0.393116,1213.841919,87477.539062,-0.001411,1.406860,0.859863,0.826626,32.375000,35.858673,0,202
101,586991,586871,0,0,-0.138625,0.505513,9.890795,-0.413732,-0.217976,0.469169,-18.778830,41.323421,0.292312,-3836.000000,3707.000000,20.000000,3.432170,-86.895012,69.159511,0.609167,-0.372225,-0.578286,0.394905,1213.952393,87474.273438,0.019980,1.406860,0.970337,0.897721,32.375000,35.868008,0,202
101,589074,588887,0,0,-0.165288,0.499246,9.895775,0.707537,-0.128552,0.750925,-18.656610,41.243324,-0.613856,-3816.000000,3693.000000,-42.000000,5.403154,-86.941355,70.895547,0.609359,-0.370694,-0.579677,0.394008,1213.856445,87479.851562,0.149370,1.406860,0.874390,0.838282,32.375000,35.896011,0,202
101,591162,591036,0,0,-0.162651,0.517330,9.894564,0.513982,-0.283986,-0.388913,-18.705500,41.317699,-0.204619,-3824.000000,3706.000000,-14.000000,7.904376,-86.995928,73.340242,0.608782,-0.369995,-0.580646,0.394130,1213.890381,87479.273438,0.058603,1.406860,0.908325,1.023380,32.375000,35.900681,0,202
101,593278,593124,0,0,-0.161187,0.501376,9.892115,0.195561,-0.661139,-0.161147,-18.803274,41.237606,0.511546,-3840.000000,3692.000000,35.000000,6.703083,-86.952488,72.177928,0.609099,-0.370316,-0.580057,0.394206,1213.989868,87476.609375,-0.189414,1.406860,1.007812,1.007625,32.500000,35.910015,0,202
