Mach,CD Power-On
1.52,2.54454516375728
1.53,2.52389169035185
1.54,2.50375000893189
1.55,2.48410064850685
1.56,2.46492467354072
1.57,2.44620459890519
1.58,2.4279236000804
1.59,2.4100666312983
1.60,2.39261867586551
1.61,2.37556603876011
1.62,2.35889553163314
1.63,2.34259511822647
1.64,2.32665279665778
1.65,2.31105779715861
1.66,2.29579954648819
1.67,2.28086793240709
1.68,2.26625401172452
1.69,2.2519482561125
1.70,2.23794273291369
1.71,2.22422892158082
1.72,2.21079909793514
1.73,2.19764634657675
1.74,2.18476326998874
1.75,2.17214340215123
1.76,2.15978036677342
1.77,2.14766781950324
1.78,2.13580024396498
1.79,2.12417204012404
1.80,2.11277773355967
1.81,2.10201706558351
1.82,2.09135266629202
1.83,2.08086243436348
1.84,2.07054192394197
1.85,2.06038673447936
1.86,2.05039273765728
1.87,2.04055608509085
1.88,2.03087296061571
1.89,2.02133960420338
1.90,2.01195265681785
1.91,2.00270857206947
1.92,1.99360416561104
1.93,1.98463628879503
1.94,1.97580193641305
1.95,1.9670982344882
1.96,1.95852223645462
1.97,1.95007144631037
1.98,1.94150052794859
1.99,1.93304943983287
2.00,1.92471601891014
2.01,1.91666880399264
2.02,1.90872580614719
2.03,1.90090254725979
2.04,1.8931966831053
2.05,1.88560589472703
2.06,1.87812814812561
2.07,1.87076147271637
2.08,1.8635036471855
2.09,1.85635285565002
2.10,1.84930716724454
2.11,1.84236469039566
2.12,1.83552384948341
2.13,1.82878280604894
2.14,1.82213993099385
2.15,1.81559353917621
2.16,1.80914219872315
2.17,1.80278427170903
2.18,1.79651850677352
2.19,1.79034333122479
2.20,1.78425736748607
2.21,1.77825928084498
2.22,1.77234780477389
2.23,1.76652164084237
2.24,1.76013063859449
2.25,1.75281391098417
2.26,1.74556856302505
2.27,1.73839330315002
2.28,1.73128712132307
2.29,1.72424858353696
2.30,1.71727653234174
2.31,1.7103700137911
2.32,1.70352780661623
2.33,1.69674880716512
2.34,1.69003195437176
2.35,1.68337637570621
2.36,1.67678099133912
2.37,1.67024458733533
2.38,1.66376656636315
2.39,1.65734582199815
2.40,1.65098145356643
2.41,1.64467260678309
2.42,1.63841845994768
2.43,1.63221804493614
2.44,1.62607069401567
2.45,1.61997560135688
2.46,1.61466777780179
2.47,1.60941065434773
2.48,1.6042034601608
2.49,1.59904532747803
2.50,1.59393568149171
2.51,1.58887379783726
2.52,1.58385882835821
2.53,1.57889028805083
2.54,1.57396755452706
2.55,1.56908976651836
2.56,1.56425642453864
2.57,1.55946697229258
2.58,1.55472068610448
2.59,1.55001708111978
2.60,1.54535539181282
2.61,1.54073534406391
2.62,1.5361562612789
2.63,1.53161745911899
2.64,1.52711862797234
2.65,1.52265901642437
2.66,1.51823817568086
2.67,1.51385580732164
2.68,1.50951120614185
2.69,1.50520409832933
2.70,1.50093370157584
2.71,1.49669975823687
2.72,1.492501792602
2.73,1.48833944258937
2.74,1.48421198791396
2.75,1.48011928942554
2.76,1.47606079111781
2.77,1.47203617987697
2.78,1.46804483917227
2.79,1.46408659592869
2.80,1.46016097473633
2.81,1.45626758428658
2.82,1.45240603586084
2.83,1.44857601398142
2.84,1.44477707256776
2.85,1.44100892549042
2.86,1.43727117833758
2.87,1.43356347847454
2.88,1.42988548460778
2.89,1.42623691479721
2.90,1.42261742242997
2.91,1.41902667902757
2.92,1.41546432104666
2.93,1.41193006657283
2.94,1.40842366651693
2.95,1.40494471543297
2.96,1.40149306252006
2.97,1.39806824737699
2.98,1.39467008800753
2.99,1.39129822083896
3.00,1.38795249869266
3.01,1.3846596927955
3.02,1.38138946887283
3.03,1.37814162002511
3.04,1.37491596220691
3.05,1.3717121910756
3.06,1.36852416772828
3.07,1.36534252008264
3.08,1.36218232703522
3.09,1.35904338786298
3.10,1.35592549289222
3.11,1.35282842005291
3.12,1.34975200849988
3.13,1.34669602273527
3.14,1.34366031494475
3.15,1.34064461649588
3.16,1.3376487073125
3.17,1.33467254062363
3.18,1.33171583401278
3.19,1.32877841786927
3.20,1.32586009623807
3.21,1.32296072768659
3.22,1.32008011468431
3.23,1.31721806571774
3.24,1.31437444509114
3.25,1.31154905250532
3.26,1.30874178993005
3.27,1.30595237991879
3.28,1.30318077256357
3.29,1.30042674008993
3.30,1.29769010793435
3.31,1.29497082231322
3.32,1.29226859448717
3.33,1.28958337964495
3.34,1.28691498199426
3.35,1.28426327330925
3.36,1.28162809784767
3.37,1.27900927848047
3.38,1.27640672278126
3.39,1.27382026011813
3.40,1.27124977494999
3.41,1.26869512864582
3.42,1.26615617123422
3.43,1.26363279366304
3.44,1.26112483177605
3.45,1.2586321148935
3.46,1.2561546432167
3.47,1.25369218764756
3.48,1.25124463383924
3.49,1.24881189516501
3.50,1.24639381368974
3.51,1.24399029220638
3.52,1.24160118699669
3.53,1.23922639744046
3.54,1.23686578975257
3.55,1.23451925973217
3.56,1.2321866956094
3.57,1.22986799958472
3.58,1.22756302839243
3.59,1.22527167542205
3.60,1.2229938603141
3.61,1.22072945876066
3.62,1.21847831336969
3.63,1.21624040056043
3.64,1.21401558744684
3.65,1.211803735361
3.66,1.20960476818696
3.67,1.20741861409943
3.68,1.20524514252503
3.69,1.20308423589112
3.70,1.20093583160053
3.71,1.19879978290045
3.72,1.19667607326533
3.73,1.19456450946588
3.74,1.19246509061265
3.75,1.19037769359894
3.76,1.18830217882757
3.77,1.18623849167424
3.78,1.18418657293315
3.79,1.18214625971526
3.80,1.18011755361058
3.81,1.17810026870595
3.82,1.17609440705855
3.83,1.17409980333207
3.84,1.17211642999229
3.85,1.17014417671424
3.86,1.16809329098591
3.87,1.16605331999837
3.88,1.16402426330844
3.89,1.16200597738159
3.90,1.15999841246386
3.91,1.15800148235423
3.92,1.1560151358404
3.93,1.15403925949253
3.94,1.15207377670399
3.95,1.1501186278986
3.96,1.14817373044558
3.97,1.14623899134342
3.98,1.1443143608994
3.99,1.142399785997
4.00,1.14049509775427
4.01,1.13860034391446
4.02,1.13671539083059
4.03,1.13484015485766
4.04,1.13297457783912
4.05,1.13111862720335
4.06,1.12927217522328
4.07,1.12743518005641
4.08,1.12560757925153
4.09,1.12378930796569
4.10,1.12198024722921
4.11,1.12018041663958
4.12,1.11838968533679
4.13,1.11660800376164
4.14,1.1148353174802
4.15,1.11307156767881
4.16,1.11131669449423
4.17,1.10957056725686
4.18,1.10783320883496
4.19,1.10610451069066
4.20,1.10438442233613
4.21,1.10267287161661
4.22,1.10096980600962
4.23,1.09927516936152
4.24,1.09758890709455
4.25,1.09591099248841
4.26,1.09424126429577
4.27,1.09257974052218
4.28,1.09092634728109
4.29,1.08928102913124
4.30,1.08764375197933
4.31,1.08601436180687
4.32,1.0843929433428
4.33,1.08277933558251
4.34,1.08117356023428
4.35,1.0795754998608
